"data","wojewodztwo","teryt","KTS.powiat","powiat","ludnosc","zakazenia","zakazenia.10.tys","zgony","zgony.Covid","zgony.inne","zgony.10.tys"
2020-11-24,"lubuskie","0808","020811408000","świebodziński",55790,8,1.43394873633268,2,0,2,0.358487184083169
2020-11-24,"lubuskie","0809","020811409000","zielonogórski",75559,28,3.70571341600604,0,0,0,0
2020-11-24,"lubuskie","0810","020811410000","żagański",78953,25,3.16644079389004,0,0,0,0
2020-11-24,"lubuskie","0811","020811411000","żarski",96111,23,2.39306635036572,3,1,2,0.312139089178138
2020-11-24,"lubuskie","0812","020811412000","wschowski",38831,8,2.06020962632948,0,0,0,0
2020-11-24,"lubuskie","0861","020811361000","Gorzów Wielkopolski",123609,32,2.58880825829834,5,0,5,0.404501290359116
2020-11-24,"lubuskie","0862","020811462000","Zielona Góra",141222,43,3.04485136876691,0,0,0,0
2020-11-24,"łódzkie","1001","051011701000","bełchatowski",112779,16,1.41870383670719,0,0,0,0
2020-11-24,"łódzkie","1002","051011902000","kutnowski",96569,16,1.65684639998343,2,0,2,0.207105799997929
2020-11-24,"łódzkie","1003","051011803000","łaski",49918,5,1.00164269401819,0,0,0,0
2020-11-24,"łódzkie","1004","051011904000","łęczycki",49747,30,6.03051440287857,1,1,0,0.201017146762619
2020-11-24,"łódzkie","1005","051011905000","łowicki",78099,22,2.81693747679228,0,0,0,0
2020-11-24,"łódzkie","1006","051011506000","łódzki wschodni",72179,11,1.52398897186162,0,0,0,0
2020-11-24,"łódzkie","1007","051011707000","opoczyński",76106,14,1.83953958951988,0,0,0,0
2020-11-24,"łódzkie","1008","051011508000","pabianicki",119291,25,2.09571551919256,0,0,0,0
2020-11-24,"łódzkie","1009","051011809000","pajęczański",51220,2,0.390472471690746,0,0,0,0
2020-11-24,"łódzkie","1010","051011710000","piotrkowski",91353,26,2.84610248158243,3,0,3,0.328396440182588
2020-11-24,"łódzkie","1011","051011811000","poddębicki",41108,7,1.70283156563199,0,0,0,0
2020-11-24,"łódzkie","1012","051011712000","radomszczański",112644,5,0.443876282802457,0,0,0,0
2020-11-24,"łódzkie","1013","051011913000","rawski",48592,2,0.411590385248601,11,2,9,2.2637471188673
2020-11-24,"łódzkie","1014","051011814000","sieradzki",117674,30,2.54941618369393,0,0,0,0
2020-11-24,"łódzkie","1015","051011915000","skierniewicki",38174,2,0.523916802011841,0,0,0,0
2020-11-24,"łódzkie","1016","051011716000","tomaszowski",116519,26,2.23139573803414,0,0,0,0
2020-11-24,"łódzkie","1017","051011817000","wieluński",76256,8,1.04909777591272,14,2,12,1.83592110784725
2020-11-24,"łódzkie","1018","051011818000","wieruszowski",42105,1,0.237501484384277,3,2,1,0.712504453152832
2020-11-24,"łódzkie","1019","051011819000","zduńskowolski",66380,14,2.10906899668575,3,2,1,0.45194335643266
2020-11-24,"łódzkie","1020","051011520000","zgierski",166113,29,1.74579954609212,2,1,1,0.120399968696008
2020-11-24,"łódzkie","1021","051011521000","brzeziński",30833,7,2.27029481399799,0,0,0,0
2020-11-24,"łódzkie","1061","051011661000","Łódź",679941,233,3.4267679107452,0,0,0,0
2020-11-24,"łódzkie","1062","051011762000","Piotrków Trybunalski",73090,22,3.00998768641401,0,0,0,0
2020-11-24,"łódzkie","1063","051011963000","Skierniewice",48089,10,2.07947763521803,0,0,0,0
2020-11-24,"małopolskie","1201","011212001000","bocheński",106858,7,0.65507495929177,2,0,2,0.187164274083363
2020-11-24,"małopolskie","1202","011212402000","brzeski",93201,9,0.965654874947694,5,1,4,0.536474930526497
2020-11-24,"małopolskie","1203","011212303000","chrzanowski",124536,14,1.12417292991585,1,1,0,0.0802980664225605
2020-11-24,"małopolskie","1204","011212404000","dąbrowski",59174,10,1.68993138878562,8,0,8,1.35194511102849
2020-11-24,"małopolskie","1205","011212205000","gorlicki",108886,20,1.83678342486637,0,0,0,0
2020-11-24,"małopolskie","1206","011212006000","krakowski",279239,61,2.1845086109032,2,2,0,0.0716232331443674
2020-11-24,"małopolskie","1207","011212207000","limanowski",131764,13,0.986612428280866,5,3,2,0.379466318569564
2020-11-24,"małopolskie","1208","011212008000","miechowski",48818,5,1.02421238067926,2,0,2,0.409684952271703
2020-11-24,"małopolskie","1209","011212009000","myślenicki",127600,18,1.41065830721003,1,0,1,0.0783699059561129
2020-11-24,"małopolskie","1210","011212210000","nowosądecki",216796,9,0.415136810642263,11,9,2,0.507389435229432
2020-11-24,"małopolskie","1211","011216911000","nowotarski",191782,5,0.260712684193511,6,0,6,0.312855221032214
2020-11-24,"małopolskie","1212","011212312000","olkuski",111217,18,1.61845760989777,2,0,2,0.179828623321974
2020-11-24,"małopolskie","1213","011212313000","oświęcimski",153486,28,1.8242706175156,5,0,5,0.325762610270644
2020-11-24,"małopolskie","1214","011212014000","proszowicki",43222,3,0.694090972190088,0,0,0,0
2020-11-24,"małopolskie","1215","011216915000","suski",84232,10,1.1871972646975,2,0,2,0.2374394529395
2020-11-24,"małopolskie","1216","011212416000","tarnowski",201497,46,2.2829124006809,4,0,4,0.198514121798339
2020-11-24,"małopolskie","1217","011216917000","tatrzański",68072,2,0.293806557762369,0,0,0,0
2020-11-24,"małopolskie","1218","011212318000","wadowicki",160006,7,0.437483594365211,0,0,0,0
2020-11-24,"małopolskie","1219","011212019000","wielicki",129136,20,1.54875480113988,0,0,0,0
2020-11-24,"małopolskie","1261","011212161000","Kraków",779115,166,2.13062256534658,4,2,2,0.0513403027794356
2020-11-24,"małopolskie","1262","011212262000","Nowy Sącz",83794,4,0.477361147576199,2,1,1,0.238680573788099
2020-11-24,"małopolskie","1263","011212463000","Tarnów",108470,11,1.01410528256661,2,0,2,0.184382778648474
2020-11-24,"mazowieckie","1401","071422701000","białobrzeski",33410,2,0.598623166716552,0,0,0,0
2020-11-24,"mazowieckie","1402","071422502000","ciechanowski",89423,20,2.23656106370844,1,0,1,0.111828053185422
2020-11-24,"mazowieckie","1403","071427103000","garwoliński",108981,17,1.55990493755792,0,0,0,0
2020-11-24,"mazowieckie","1404","071427004000","gostyniński",44899,6,1.33633265774293,1,0,1,0.222722109623822
2020-11-24,"mazowieckie","1405","071413005000","grodziski",95963,43,4.48089367777164,1,0,1,0.10420682971562
2020-11-24,"mazowieckie","1406","071427306000","grójecki",98311,15,1.5257702596861,1,0,1,0.101718017312407
2020-11-24,"mazowieckie","1407","071422707000","kozienicki",59997,13,2.16677500541694,1,0,1,0.166675000416688
2020-11-24,"mazowieckie","1408","071412908000","legionowski",118585,26,2.19252013323776,0,0,0,0
2020-11-24,"mazowieckie","1409","071422709000","lipski",33874,3,0.885635000295212,1,0,1,0.295211666765071
2020-11-24,"mazowieckie","1410","071427110000","łosicki",30774,9,2.92454669526223,0,0,0,0
2020-11-24,"mazowieckie","1411","071422611000","makowski",44892,3,0.668270515904838,0,0,0,0
2020-11-24,"mazowieckie","1412","071412912000","miński",154526,32,2.07084891862858,0,0,0,0
2020-11-24,"mazowieckie","1413","071422513000","mławski",72626,14,1.92768430038829,0,0,0,0
2020-11-24,"mazowieckie","1414","071413014000","nowodworski",79378,14,1.76371286754516,2,0,2,0.251958981077881
2020-11-24,"mazowieckie","1415","071422615000","ostrołęcki",88654,20,2.25596137794121,0,0,0,0
2020-11-24,"mazowieckie","1416","071422616000","ostrowski",72328,11,1.52084946355492,0,0,0,0
2020-11-24,"mazowieckie","1417","071412917000","otwocki",124352,63,5.06626351003603,0,0,0,0
2020-11-24,"mazowieckie","1418","071413018000","piaseczyński",188281,57,3.02738991188702,2,0,2,0.106224207434632
2020-11-24,"mazowieckie","1419","071427019000","płocki",110952,20,1.80258129641647,4,0,4,0.360516259283294
2020-11-24,"mazowieckie","1420","071422520000","płoński",87054,13,1.49332598157465,1,0,1,0.114871229351897
2020-11-24,"mazowieckie","1421","071413021000","pruszkowski",165912,42,2.53146246202806,9,0,9,0.542456241863156
2020-11-24,"mazowieckie","1422","071422622000","przasnyski",52511,5,0.952181447696673,2,0,2,0.380872579078669
2020-11-24,"mazowieckie","1423","071422723000","przysuski",41455,4,0.964901700639247,1,0,1,0.241225425159812
2020-11-24,"mazowieckie","1424","071422524000","pułtuski",51824,10,1.92960790367397,1,0,1,0.192960790367397
2020-11-24,"mazowieckie","1425","071422725000","radomski",152291,26,1.70725781562929,0,0,0,0
2020-11-24,"mazowieckie","1426","071427126000","siedlecki",81362,6,0.737444998893833,1,0,1,0.122907499815639
2020-11-24,"mazowieckie","1427","071427027000","sierpecki",51954,5,0.962389806367171,0,0,0,0
2020-11-24,"mazowieckie","1428","071427328000","sochaczewski",85045,9,1.05826327238521,0,0,0,0
2020-11-24,"mazowieckie","1429","071427129000","sokołowski",53804,14,2.60203702326965,0,0,0,0
2020-11-24,"mazowieckie","1430","071422730000","szydłowiecki",39672,6,1.5124016938899,1,0,1,0.25206694898165
2020-11-24,"mazowieckie","1432","071413032000","warszawski zachodni",118613,33,2.78215709913753,1,0,1,0.0843077908829555
2020-11-24,"mazowieckie","1433","071427133000","węgrowski",65822,9,1.36732399501686,0,0,0,0
2020-11-24,"mazowieckie","1434","071412934000","wołomiński",249299,36,1.44404911371486,3,0,3,0.120337426142905
2020-11-24,"mazowieckie","1435","071422635000","wyszkowski",74220,4,0.538938291565616,0,0,0,0
2020-11-24,"mazowieckie","1436","071422736000","zwoleński",36166,3,0.829508378034618,0,0,0,0
2020-11-24,"mazowieckie","1437","071422537000","żuromiński",38515,5,1.29819550824354,1,0,1,0.259639101648708
2020-11-24,"mazowieckie","1438","071427338000","żyrardowski",75749,16,2.11223910546674,1,0,1,0.132014944091671
2020-11-24,"mazowieckie","1461","071422661000","Ostrołęka",52055,12,2.30525405820767,0,0,0,0
2020-11-24,"mazowieckie","1462","071427062000","Płock",119425,24,2.00962947456563,0,0,0,0
2020-11-24,"mazowieckie","1463","071422763000","Radom",211371,53,2.50743952576276,1,1,0,0.0473101797313728
2020-11-24,"mazowieckie","1464","071427164000","Siedlce",78185,6,0.767410628637207,1,0,1,0.127901771439534
2020-11-24,"mazowieckie","1465","071412865000","Warszawa",1790658,437,2.44044368047947,13,0,13,0.0725990110897782
2020-11-24,"opolskie","1601","031613101000","brzeski",89804,31,3.45196205068817,1,0,1,0.111353614538328
2020-11-24,"opolskie","1602","031613102000","głubczycki",45552,50,10.9764664559185,1,0,1,0.21952932911837
2020-11-24,"opolskie","1603","031613203000","kędzierzyńsko-kozielski",93880,22,2.34341712824883,3,0,3,0.31955688112484
2020-11-24,"opolskie","1604","031613204000","kluczborski",65470,17,2.59660913395448,0,0,0,0
2020-11-24,"opolskie","1605","031613205000","krapkowicki",63747,25,3.92175318054183,3,0,3,0.47061038166502
2020-11-24,"opolskie","1606","031613106000","namysłowski",42634,21,4.92564619787024,0,0,0,0
2020-11-24,"opolskie","1607","031613107000","nyski",135948,83,6.1052755465325,0,0,0,0
2020-11-24,"opolskie","1608","031613208000","oleski",64293,23,3.57737234224566,2,0,2,0.311075855847448
2020-11-24,"opolskie","1609","031613209000","opolski",123726,73,5.90013416743449,5,0,5,0.404118778591404
2020-11-24,"opolskie","1610","031613110000","prudnicki",55237,22,3.98283759074533,3,0,3,0.543114216919818
2020-11-24,"opolskie","1611","031613211000","strzelecki",74300,27,3.63391655450875,1,0,1,0.134589502018843
2020-11-24,"opolskie","1661","031613261000","Opole",128035,118,9.21622993712657,5,0,5,0.390518217674855
2020-11-24,"podkarpackie","1801","061813301000","bieszczadzki",21664,1,0.461595273264402,0,0,0,0
2020-11-24,"podkarpackie","1802","061813302000","brzozowski",65567,11,1.67767321975994,0,0,0,0
2020-11-24,"podkarpackie","1803","061813603000","dębicki",135299,12,0.886924515332708,1,0,1,0.0739103762777256
2020-11-24,"podkarpackie","1804","061813404000","jarosławski",120247,61,5.07289163139205,1,0,1,0.083162157891673
2020-11-24,"podkarpackie","1805","061813305000","jasielski",113450,35,3.08505949757602,0,0,0,0
2020-11-24,"podkarpackie","1806","061813506000","kolbuszowski",62246,20,3.21305786717219,0,0,0,0
2020-11-24,"podkarpackie","1807","061813307000","krośnieński",112283,36,3.20618437341361,0,0,0,0
2020-11-24,"podkarpackie","1808","061813608000","leżajski",69370,4,0.576618134640334,0,0,0,0
2020-11-24,"podkarpackie","1809","061813409000","lubaczowski",55217,5,0.905518228081931,2,1,1,0.362207291232773
2020-11-24,"podkarpackie","1810","061813510000","łańcucki",81049,26,3.20793593998692,0,0,0,0
2020-11-24,"podkarpackie","1811","061813611000","mielecki",136660,83,6.07346699839017,1,0,1,0.0731743011854237
2020-11-24,"podkarpackie","1812","061813612000","niżański",66589,7,1.05122467674841,1,0,1,0.150174953821202
2020-11-24,"podkarpackie","1813","061813413000","przemyski",74061,16,2.16038130730074,2,0,2,0.270047663412592
2020-11-24,"podkarpackie","1814","061813414000","przeworski",78362,12,1.53135448304025,0,0,0,0
2020-11-24,"podkarpackie","1815","061813515000","ropczycko-sędziszowski",74515,0,0,0,0,0,0
2020-11-24,"podkarpackie","1816","061813516000","rzeszowski",169438,38,2.24270824726449,0,0,0,0
2020-11-24,"podkarpackie","1817","061813317000","sanocki",94385,7,0.741643269587329,2,0,2,0.211898077024951
2020-11-24,"podkarpackie","1818","061813618000","stalowowolski",106037,8,0.754453634108849,0,0,0,0
2020-11-24,"podkarpackie","1819","061813519000","strzyżowski",61386,6,0.977421561919656,0,0,0,0
2020-11-24,"podkarpackie","1820","061813620000","tarnobrzeski",52965,30,5.66411781365052,0,0,0,0
2020-11-24,"podkarpackie","1821","061813321000","leski",26441,1,0.37820052191672,1,0,1,0.37820052191672
2020-11-24,"podkarpackie","1861","061813361000","Krosno",46291,18,3.88844483808948,0,0,0,0
2020-11-24,"podkarpackie","1862","061813462000","Przemyśl",60689,7,1.15342154261893,0,0,0,0
2020-11-24,"podkarpackie","1863","061813563000","Rzeszów",196208,79,4.02633939492783,2,2,0,0.101932642909565
2020-11-24,"podkarpackie","1864","061813664000","Tarnobrzeg",46745,17,3.63675259386031,0,0,0,0
2020-11-24,"podlaskie","2001","062013901000","augustowski",58068,12,2.06654267410622,0,0,0,0
2020-11-24,"podlaskie","2002","062013702000","białostocki",149611,39,2.60676019811378,0,0,0,0
2020-11-24,"podlaskie","2003","062013803000","bielski",54353,4,0.735929939469762,0,0,0,0
2020-11-24,"podlaskie","2004","062013904000","grajewski",47210,3,0.635458589281932,0,0,0,0
2020-11-24,"podlaskie","2005","062013805000","hajnowski",42610,23,5.39779394508331,1,0,1,0.234686693264492
2020-11-24,"podlaskie","2006","062013806000","kolneński",38057,3,0.788291247339517,2,0,2,0.525527498226345
2020-11-24,"podlaskie","2007","062013807000","łomżyński",50943,13,2.55187169974285,1,0,1,0.196297823057142
2020-11-24,"podlaskie","2008","062013908000","moniecki",40412,34,8.41334257151341,13,0,13,3.21686627734336
2020-11-24,"podlaskie","2009","062013909000","sejneński",19914,5,2.51079642462589,0,0,0,0
2020-11-24,"podlaskie","2010","062013810000","siemiatycki",44193,19,4.29932342226144,0,0,0,0
2020-11-24,"podlaskie","2011","062013711000","sokólski",66686,43,6.44813004228774,0,0,0,0
2020-11-24,"podlaskie","2012","062013912000","suwalski",35674,8,2.24252957335875,0,0,0,0
2020-11-24,"podlaskie","2013","062013813000","wysokomazowiecki",56860,1,0.175870559268378,2,0,2,0.351741118536757
2020-11-24,"podlaskie","2014","062013814000","zambrowski",43505,6,1.3791518216297,0,0,0,0
2020-11-24,"podlaskie","2061","062013761000","Białystok",297554,56,1.88201133239681,0,0,0,0
2020-11-24,"podlaskie","2062","062013862000","Łomża",62945,21,3.33624592898562,0,0,0,0
2020-11-24,"podlaskie","2063","062013963000","Suwałki",69758,19,2.72370194099601,0,0,0,0
2020-11-24,"pomorskie","2201","042214101000","bytowski",79198,14,1.76772140710624,0,0,0,0
2020-11-24,"pomorskie","2202","042217202000","chojnicki",97645,17,1.74100056326489,3,0,3,0.307235393517333
2020-11-24,"pomorskie","2203","042217203000","człuchowski",56085,66,11.767852366943,0,0,0,0
2020-11-24,"pomorskie","2204","042214004000","gdański",118489,50,4.21980099418511,1,0,1,0.0843960198837023
2020-11-24,"pomorskie","2205","042214005000","kartuski",139397,44,3.15645243441394,4,0,4,0.286950221310358
2020-11-24,"pomorskie","2206","042217206000","kościerski",72688,33,4.53995157384988,1,1,0,0.137574290116663
2020-11-24,"pomorskie","2207","042214207000","kwidzyński",83174,8,0.961839036237286,2,0,2,0.240459759059321
2020-11-24,"pomorskie","2208","042214108000","lęborski",66115,14,2.11752249867655,0,0,0,0
2020-11-24,"pomorskie","2209","042214209000","malborski",63470,25,3.93886875689302,2,0,2,0.315109500551442
2020-11-24,"pomorskie","2210","042214010000","nowodworski",35580,15,4.21585160202361,0,0,0,0
2020-11-24,"pomorskie","2211","042214011000","pucki",86684,76,8.76747727377601,1,0,1,0.115361543076
2020-11-24,"pomorskie","2212","042214112000","słupski",98686,54,5.47190077619926,0,0,0,0
2020-11-24,"pomorskie","2213","042214213000","starogardzki",128186,54,4.21262852417581,0,0,0,0
2020-11-24,"pomorskie","2214","042214214000","tczewski",115728,38,3.28356145444491,1,1,0,0.0864095119590765
2020-11-24,"pomorskie","2215","042214015000","wejherowski",217846,69,3.16737511820277,2,0,2,0.0918079744406599
2020-11-24,"pomorskie","2216","042214216000","sztumski",41302,9,2.17907123141736,5,0,5,1.2105951285652
2020-11-24,"pomorskie","2261","042214361000","Gdańsk",470907,230,4.88419157073477,9,0,9,0.191120539724404
2020-11-24,"pomorskie","2262","042214362000","Gdynia",246348,105,4.26226313994837,4,1,3,0.16237192914089
2020-11-24,"pomorskie","2263","042214163000","Słupsk",90681,48,5.29328084163165,0,0,0,0
2020-11-24,"pomorskie","2264","042214364000","Sopot",35719,10,2.79963044878076,0,0,0,0
2020-11-24,"śląskie","2401","012415001000","będziński",148089,56,3.78150976777478,6,0,6,0.405161760833013
2020-11-24,"śląskie","2402","012414402000","bielski",165960,11,0.662810315738732,7,0,7,0.42178838274283
2020-11-24,"śląskie","2403","012414403000","cieszyński",178191,30,1.68358671313366,1,0,1,0.0561195571044553
2020-11-24,"śląskie","2404","012414604000","częstochowski",134555,22,1.63501913715581,4,0,4,0.297276206755602
2020-11-24,"śląskie","2405","012414705000","gliwicki",115528,39,3.37580499965376,2,0,2,0.173118205110449
2020-11-24,"śląskie","2406","012414606000","kłobucki",84591,7,0.827511200955184,1,1,0,0.118215885850741
2020-11-24,"śląskie","2407","012414507000","lubliniecki",76451,25,3.27006840983113,3,0,3,0.392408209179736
